编号,片段名,文本,语言,中文,answer,selected_model,available_models,source_text_check,target_language_check
51264,电视剧6 EP12,คุณน่ะขี้งกจะตาย,泰语,你铁公鸡一毛不拔,นายมันคนขี้เหนียวตัวพ่อเลย,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你铁公鸡一毛不拔,泰语
51265,电视剧6 EP12,We will never have any financial dealings.,英语,咱俩能有经济上的来往你能借我钱,Can our relationship extend to financial matters? Can you lend me money?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",咱俩能有经济上的来往你能借我钱,英语
51266,电视剧6 EP12,เราสองคนน่ะเหรอจะเกี่ยวข้องกันด้านการเงิน คุณน่ะเหรอจะให้ฉันยืมเงิน,泰语,咱俩能有经济上的来往你能借我钱,เราสองคนพอจะช่วยเหลือกันเรื่องเงินได้ไหม นายให้ฉันยืมเงินหน่อย,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",咱俩能有经济上的来往你能借我钱,泰语
51267,电视剧6 EP12,What are you talking about?,英语,什么叫我这种人,"What do you mean by ""people like me""?",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",什么叫我这种人,英语
51268,电视剧6 EP12,คนแบบผมมันหมายความว่ายังไง,泰语,什么叫我这种人,คนแบบฉันหมายความว่ายังไง,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",什么叫我这种人,泰语
51269,电视剧6 EP12,Come with me.,英语,你跟我过来,Come with me.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你跟我过来,英语
51270,电视剧6 EP12,คุณตามผมมานี่,泰语,你跟我过来,คุณตามฉันมา,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你跟我过来,泰语
51271,电视剧6 EP12,Where are you taking me?,英语,我跟你上哪儿去,Where are we going?,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我跟你上哪儿去,英语
51272,电视剧6 EP12,จะให้ฉันตามคุณไปไหนไม่ทราบ,泰语,我跟你上哪儿去,ฉันจะไปไหนกับเธอ,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我跟你上哪儿去,泰语
51273,电视剧6 EP12,Don't get physical.,英语,我告诉你别动手啊,Don't you dare get physical.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我告诉你别动手啊,英语
51274,电视剧6 EP12,ผมจะบอกคุณให้แล้วอย่าลงไม้ลงมือนะ,泰语,我告诉你别动手啊,ฉันบอกนายให้นะ อย่าใช้กำลัง,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我告诉你别动手啊,泰语
51275,电视剧6 EP12,"Just look, keep a safe distance.",英语,看就看啊保持安全距离,"Look all you want, but keep a safe distance.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",看就看啊保持安全距离,英语
51276,电视剧6 EP12,แค่ดูนะ รักษาระยะห่างที่ปลอดภัยเอาไว้ด้วย,泰语,看就看啊保持安全距离,ดูก็ดูสิ แต่รักษาระยะห่างปลอดภัยด้วย,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",看就看啊保持安全距离,泰语
51277,电视剧6 EP12,"Ma'am, I work in this bar.",英语,女士您好我是这家酒吧的服务员,"Hello, ma'am. I'm a server at this bar.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",女士您好我是这家酒吧的服务员,英语
51278,电视剧6 EP12,สวัสดีค่ะ คุณผู้หญิง ฉันคือบริกรของบาร์แห่งนี้,泰语,女士您好我是这家酒吧的服务员,สวัสดีครับคุณผู้หญิง ผมเป็นพนักงานเสิร์ฟของบาร์นี้ครับ,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",女士您好我是这家酒吧的服务员,泰语
51279,电视剧6 EP12,This gentleman is worried you might deny the charges tomorrow...,英语,据这位先生说担心您明天起来赖账,"According to this gentleman, he's worried you'll go back on your word tomorrow.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",据这位先生说担心您明天起来赖账,英语
51280,电视剧6 EP12,จากที่คุณผู้ชายท่านนี้บอก เกรงว่าคุณ ตื่นขึ้นมาพรุ่งนี้แล้วจะเบี้ยวเงิน,泰语,据这位先生说担心您明天起来赖账,คุณผู้ชายท่านนี้บอกว่า เขากังวลว่าพรุ่งนี้คุณจะเบี้ยว,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",据这位先生说担心您明天起来赖账,泰语
51281,电视剧6 EP12,"Wait, skip that part.",英语,你等会儿这句 不用说,Wait. You don't have to say that.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你等会儿这句 不用说,英语
51282,电视剧6 EP12,คุณรอเดี๋ยว ประโยคนี้ ไม่ต้องพูด,泰语,你等会儿这句 不用说,เดี๋ยวก่อนนะ ประโยคนี้ไม่ต้องพูด,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你等会儿这句 不用说,泰语
51283,电视剧6 EP12,Let me start over.,英语,那我重新来,Let me start over.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",那我重新来,英语
51284,电视剧6 EP12,งั้นฉันเอาใหม่อีกทีนะคะ,泰语,那我重新来,งั้นฉันจะเริ่มใหม่,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",那我重新来,泰语
51285,电视剧6 EP12,"No, just continue.",英语,不用 你接着说,"No, go ahead.",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",不用 你接着说,英语
51286,电视剧6 EP12,ไม่ต้องหรอก คุณพูดต่อไปเถอะ,泰语,不用 你接着说,ไม่ต้อง เธอพูดต่อเลย,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",不用 你接着说,泰语
51287,电视剧7 EP28,"Nampaknya, mereka menang.",马来语,看来赢了啊,Nampaknya dah menang.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",看来赢了啊,马来语
51288,电视剧7 EP28,Dapat teka dengan mudah.,马来语,猜都猜得到,Dah boleh agak.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",猜都猜得到,马来语
51289,电视剧7 EP28,Adakah kamu menang? Tunggu awak dalam perlawanan akhir.,马来语,赢了决赛等你,"Selepas menang perlawanan akhir, saya akan tunggu awak.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",赢了决赛等你,马来语
51290,电视剧7 EP28,Saya rasa saya mendapatkan semula perasaan terhadap Liu Yanze.,马来语,我可算是找回点对刘彦泽的感觉了,Akhirnya saya dapat semula perasaan saya terhadap Liu Yanze.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我可算是找回点对刘彦泽的感觉了,马来语
51291,电视剧7 EP28,saya mengajar mereka dengan cara bebas.,马来语,我平时都是采取放养的,"Biasanya, saya ambil pendekatan bebas.",dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我平时都是采取放养的,马来语
51292,电视剧7 EP28,Adakah awak mengajar mereka dengan ketat?,马来语,你是不是管太严了,Bukankah awak terlalu mengongkong?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你是不是管太严了,马来语
51293,电视剧7 EP28,Awak patut biar mereka...,马来语,总要让他们自己能够,Kita perlu biarkan mereka berdikari.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",总要让他们自己能够,马来语
51294,电视剧7 EP28,"Pada masa itu, awak memang tidak ketat.",马来语,那时候你倒是管得不严,"Pada masa itu, awak tidak begitu tegas.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",那时候你倒是管得不严,马来语
51295,电视剧7 EP28,Selamat datang ke tempat pertandingan separuh akhir.,马来语,欢迎来到本次比赛的半决赛现场,Selamat datang ke pentas separuh akhir pertandingan kali ini.,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",欢迎来到本次比赛的半决赛现场,马来语
51296,电视剧7 EP28,"Hari ini, dua pasukan yang bertemu dalam pertandingan separuh akhir akan bersama membincangkan topik tentang menerima realiti atau mengubah realiti yang lebih memerlukan keberanian.",马来语,今天两支会师半决赛的队伍将共同探讨接受现实还是改变现实更需要勇气这个话题,"Hari ini, dua pasukan yang bertemu di separuh akhir akan bersama-sama membincangkan topik ""Menerima realiti atau mengubah realiti, yang mana lebih memerlukan keberanian"".",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",今天两支会师半决赛的队伍将共同探讨接受现实还是改变现实更需要勇气这个话题,马来语
51297,电视剧7 EP28,"Bagi pandangan kami, menerima realiti lebih memerlukan keberanian berbanding dengan mengubah realiti.",马来语,所以我方的观点是接受现实比改变现实更需要勇气,"Jadi, hujah kami adalah ""Menerima realiti lebih memerlukan keberanian daripada mengubah realiti"".",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",所以我方的观点是接受现实比改变现实更需要勇气,马来语
51298,电视剧7 EP28,"Hujah bagus, kuat dan jelas.",马来语,立论不错 扎实清晰,"Hujah yang baik, kukuh dan jelas.",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",立论不错 扎实清晰,马来语
51299,电视剧7 EP28,"Namun, struktur terlalu usang.",马来语,就是结构太陈旧了,Strukturnya terlalu lapuk.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",就是结构太陈旧了,马来语
51300,电视剧7 EP28,Struktur tiga bahagian tidak lagi popular.,马来语,现在都不流行三段式了,Sekarang gaya tiga bahagian dah tak popular lagi.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",现在都不流行三段式了,马来语
51301,电视剧7 EP28,Begitu nostalgik?,马来语,这么怀旧啊,Awak sangat nostalgik.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",这么怀旧啊,马来语
51302,电视剧7 EP28,Kamu akan mengambil kesempatan untuk bertanya dalam pusingan soal jawab pertama sebelum kami sempat bertindak balas.,马来语,应该会趁我们没有反应过来放在第一轮质询吧,Mungkin mereka akan meletakkannya dalam pusingan pertama soal siasat sebelum kita sempat bertindak balas.,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",应该会趁我们没有反应过来放在第一轮质询吧,马来语
51303,电视剧7 EP28,Boleh dikatakan awak yang memikirkan untuk saya.,马来语,算是你帮我想的吧,Boleh dikatakan awak yang tolong saya fikirkan.,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",算是你帮我想的吧,马来语
51304,电视剧7 EP28,Hujah perbahasan lawan menunjukkan realiti tidak dapat diubah kadangkalanya.,马来语,对方辩友的立论中指出有时候现实是不可改变的,Rakan pendebat lawan dalam hujahnya menyatakan bahawa kadangkala realiti tidak dapat diubah.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",对方辩友的立论中指出有时候现实是不可改变的,马来语
51305,电视剧7 EP28,Dia lebih garang.,马来语,她呀比较猛,Dia agak garang.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",她呀比较猛,马来语
51306,电视剧7 EP28,"Contohnya, hukum kegravitian semesta adalah fakta yang tidak dapat diubah.",马来语,比如万有引力定律就是不可改变的事实,"Contohnya, Hukum Graviti Semesta ialah fakta yang tak dapat diubah.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",比如万有引力定律就是不可改变的事实,马来语
51307,电视剧7 EP28,"Pendebat keempat, apa maksud realiti?",马来语,请问四辩 什么是现实,"Saya ingin bertanya kepada pendebat keempat, apakah itu realiti?",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",请问四辩 什么是现实,马来语
51308,电视剧7 EP28,Realiti adalah satu fakta atau benda yang wujud secara objektif.,马来语,现实就是一种客观存在的事实或者事物,Realiti ialah fakta atau perkara yang wujud secara objektif.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",现实就是一种客观存在的事实或者事物,马来语
51309,电视剧7 EP28,"Kalau gambaran Newton wujud secara objektif, kenapa tidak boleh disebut sebagai realiti?",马来语,如果牛顿的描述本身是客观存在的为什么不能称之为现实呢,"Jika huraian Newton itu sendiri wujud secara objektif, mengapa ia tak boleh dianggap sebagai realiti?",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",如果牛顿的描述本身是客观存在的为什么不能称之为现实呢,马来语
51310,电视剧7 EP28,Saya rasa tiada masalah.,马来语,我想是可以的,Saya rasa boleh.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我想是可以的,马来语
51311,电视剧7 EP28,memerlukan daya imaginasi atau keberanian?,马来语,需要的到底是想象力还是勇气呢,"Apakah yang diperlukan sebenarnya, imaginasi atau keberanian?",dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",需要的到底是想象力还是勇气呢,马来语
51312,电视剧7 EP28,Xiaoyu belajar tabiat buruk daripada Yin Nan.,马来语,小鱼跟殷楠不学好啊,Xiaoyu dan Yin Nan tak berkelakuan baik.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",小鱼跟殷楠不学好啊,马来语
51313,电视剧7 EP28,Dapat pula awak mengkritik dia.,马来语,你还说人家,Awak masih cakap pasal orang lain pula.,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你还说人家,马来语
51314,电视剧7 EP28,"Saya ingat pada masa itu, awak tanya balik kerana terdesak",马来语,我记得当时你一着急就抢答反问,"Saya ingat dulu setiap kali awak panik, awak terus menjawab dan bertanya balik.",dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我记得当时你一着急就抢答反问,马来语
51315,电视剧7 EP28,Itulah sebab mereka selalu tidak dapat belajar dengan baik.,马来语,所以说就是他们老是不学好,Sebab itulah mereka tidak pernah belajar untuk menjadi baik.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",所以说就是他们老是不学好,马来语
51316,电视剧7 EP28,Pendebat kedua kamu hebat.,马来语,你们这个二辩不错啊,Pendebat kedua kamu memang bagus.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你们这个二辩不错啊,马来语
51317,电视剧7 EP28,"Mengenai dia, dia bukan begitu sebelum ini.",马来语,她呀她以前可不是这样,Dulu dia bukan macam ni.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",她呀她以前可不是这样,马来语
51318,电视剧7 EP28,Dia juga selalu melakukan kesilapan seperti awak.,马来语,也是个惯犯跟你一样,"Dia juga seorang pesalah berulang, sama seperti awak.",dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",也是个惯犯跟你一样,马来语
51319,电视剧7 EP28,Bagus juga kalau mencapai seri.,马来语,打个平手也不错呀,Seri pun bagus.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",打个平手也不错呀,马来语
51320,电视剧7 EP28,Kenapa saya rasa kamu terlepas peluang baik untuk menyerang lebih awal?,马来语,我怎么觉得是丢掉了先发制人的好机会呢,Kenapa saya rasa kita dah terlepas peluang baik untuk bertindak dahulu?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我怎么觉得是丢掉了先发制人的好机会呢,马来语
51321,电视剧7 EP28,"Rakan pendebat lawan, salam.",马来语,对方辩友你们好,"Helo, rakan-rakan pendebat lawan.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",对方辩友你们好,马来语
51322,电视剧7 EP28,Pendebat keempat.,马来语,改变自己对吗,Betulkah untuk mengubah diri sendiri?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",改变自己对吗,马来语
51323,电视剧7 EP28,Sesiapa yang lebih sukar yang lebih memerlukan keberanian.,马来语,哪个更困难哪个就更需要勇气,"Mana yang lebih susah, itulah yang lebih memerlukan keberanian.",dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",哪个更困难哪个就更需要勇气,马来语
51324,电视剧7 EP28,Kenapa mengubah diri sendiri lebih susah daripada mengubah dunia?,马来语,为什么改变自己要比改变世界更加困难呢,Mengapa mengubah diri sendiri lebih sukar daripada mengubah dunia?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",为什么改变自己要比改变世界更加困难呢,马来语
51325,电视剧7 EP28,Adakah kriteria kamu dibina berdasarkan idealisme?,马来语,难道您方的标准是建立在唯心主义的基础上吗,Adakah standard pihak anda dibina berdasarkan idealisme?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",难道您方的标准是建立在唯心主义的基础上吗,马来语
51326,电视剧7 EP28,Kamu mendefinisikan bahawa mengubah realiti adalah objektif dan menerima realiti adalah subjektif.,马来语,您方定义改变现实是客观而接受现实是主观,"Pihak kamu mendefinisikan mengubah realiti adalah objektif, manakala menerima realiti adalah subjektif.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",您方定义改变现实是客观而接受现实是主观,马来语
51327,电视剧7 EP28,Definisi itu bermasalah.,马来语,这本身就有问题的,Ini sendiri sudah bermasalah.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",这本身就有问题的,马来语
51328,电视剧7 EP28,Apa yang dimaksudkan dengan menerima realiti?,马来语,那请问什么叫接受现实,"Jadi, apa yang dimaksudkan dengan ""menerima realiti""?",dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",那请问什么叫接受现实,马来语
51329,电视剧7 EP28,"Buat keputusan memang merupakan proses psikologi yang subjektif,",马来语,做决定是一个主观的心理过程,Membuat keputusan merupakan satu proses psikologi yang subjektif.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",做决定是一个主观的心理过程,马来语
51330,电视剧7 EP28,"tetapi mengubah realiti juga perlu membuat keputusan, bukan?",马来语,可是改变现实不也需要做出决定吗,"Tapi, bukankah mengubah realiti juga memerlukan keputusan?",dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",可是改变现实不也需要做出决定吗,马来语
51331,电视剧7 EP28,"Itu juga satu proses psikologi yang subjektif, bukan?",马来语,这不同样也是一个主观的心理过程吗,Bukankah ini juga merupakan proses psikologi yang subjektif?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",这不同样也是一个主观的心理过程吗,马来语
51332,电视剧7 EP28,Jadi apa yang kita bandingkan hari ini adalah yang mana satu antara kedua-dua ini lebih memerlukan keberanian.,马来语,所以我们今天要比较的就是这两者之间谁更需要勇气,"Oleh itu, hari ini kita akan membandingkan yang mana antara kedua-dua ini lebih memerlukan keberanian.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",所以我们今天要比较的就是这两者之间谁更需要勇气,马来语
51333,电视剧7 EP28,Saya ingin bertanya sekali lagi. Kenapa mengubah dunia lebih sukar daripada mengubah hati sendiri?,马来语,那么再次请问为什么改变世界要比改变自己的内心更加困难呢,"Jadi, sekali lagi saya nak tanya kenapa mengubah dunia lebih sukar daripada mengubah hati sendiri?",dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",那么再次请问为什么改变世界要比改变自己的内心更加困难呢,马来语
51334,电视剧7 EP28,yang mana satu lebih mudah daripada melakukan pembinaan mental?,马来语,哪一个比做心理建设更简单呢,Yang mana lebih mudah daripada membuat persediaan mental?,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",哪一个比做心理建设更简单呢,马来语
51335,电视剧7 EP28,Mereka kalah dalam kriteria dan definisi.,马来语,这判断跟定义全都给丢掉了,Penilaian dan definisi ini semuanya telah dibuang.,dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",这判断跟定义全都给丢掉了,马来语
51336,电视剧7 EP28,Pihak lawan menyerang hujah dengan reaksi penonton yang pertama,马来语,对方用观众的第一反应来攻击论点,Pihak lawan menggunakan reaksi pertama penonton untuk menyerang hujah.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",对方用观众的第一反应来攻击论点,马来语
51337,电视剧7 EP28,untuk mengaitkan ciri-ciri antara menerima realiti dan mengubah realiti dengan subjektif dan objektif secara paksa.,马来语,强行将接受现实与改变现实和主客观性质联系在一起,Secara paksa mengaitkan penerimaan realiti dan pengubahan realiti dengan sifat subjektif dan objektif.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",强行将接受现实与改变现实和主客观性质联系在一起,马来语
51338,电视剧7 EP28,Jadi hujah kita menjadi sangat lucu.,马来语,一下子就让我们的论点显得非常地可笑,"Dalam sekelip mata, hujah kita kelihatan tidak masuk akal.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",一下子就让我们的论点显得非常地可笑,马来语
51339,电视剧7 EP28,Adakah awak rasa serangan kami bermasalah?,马来语,你觉得我们的进攻有问题,Awak rasa serangan kita ada masalah?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你觉得我们的进攻有问题,马来语
51340,电视剧7 EP28,Analogi kamu memang bermasalah besar pada asasnya.,马来语,你们这层类比本身就很有问题,Analogi kamu ini sememangnya bermasalah.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你们这层类比本身就很有问题,马来语
51341,电视剧7 EP28,Kamu menyamakan tindakan mengubah realiti dan mengubah dunia.,马来语,你们把改变现实和改造世界的行动等同起来,Kamu menyamakan tindakan mengubah realiti dengan tindakan mengubah dunia.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你们把改变现实和改造世界的行动等同起来,马来语
51342,电视剧7 EP28,"Pada hakikatnya... Kami mengabaikan bahawa sudah pasti aktiviti mental yang memerlukan keberanian, bukannya tindakan itu.",马来语,其实呢却忽略了需要勇气的一定是心理活动而非行动本身,"Sebenarnya, yang memerlukan keberanian itu semestinya adalah aktiviti mental, bukannya tindakan itu sendiri.",dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",其实呢却忽略了需要勇气的一定是心理活动而非行动本身,马来语
51343,电视剧7 EP28,"Namun, dalam keadaan sekarang, kamu dalam keadaan yang amat menguntungkan.",马来语,可是现在场面上你们已经压倒性优势了,"Namun sekarang, kamu sudah memiliki kelebihan yang dominan di situasi ini.",dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",可是现在场面上你们已经压倒性优势了,马来语
